* = bad hyphen
. = missing hyphen
model|patgen
po.u-pra-vím|po.u-pra-vím
au-to-k.ro-su|au-to-k.ro-su
ne.z-bá-da-tel-ný|ne.z-bá-da-tel-ný
pe-r.o-rál-ní-ho|pe-r.o-rál-ní-ho
vi-ny-l.a-ce-tát|vi-ny-l.a-ce-tát
neo*béz-ní|ne*obéz-ní
le.t*mě|le.tmě
ča*dó|ča*dó
au-dio-p.rů-vod-ce|au-dio-p.rů-vod-ce
for-mal-de-hy-d.em|for-mal-de-hy-d.em
go-te-b.or-gu|go-te-b.or-gu
po-lo-se-s*t*r*ou|po-lo-se-s*trou
vzpří*mí|vzpří*mí
se.t-kej|se.t-kej
trak-tů.r-cích|trak-tů.r-cích
ma-s-t-ro*ia.n-ni|ma-s-t-ro*ia.n-ni
nej-u.ř*va-něj-ší|nej-u.řva-něj-ší
na-po-s.pas|na-po-s.pas
ne-p.ři-ná-še-jí-cích|ne-p.ři-ná-še-jí-cích
ga.r-ros|ga.r-ros
la-ryn-go-s.pa-s-mus|la-ryn-go-s.pa-s-mus
im-pea.ch-ment|im-pea.ch-ment
při-t-roub*lej|při-t-roub*lej
ne-dy*ch-tí|ne-dy*ch-tí
us.k.ři-nout|us.k.ři-nout
luft-wa*f-fe|luft-wa*f-fe
ne-pro-b*rat|ne-pro-b*rat
pě-ti.o-ký|pě-ti.o-ký
pra-p.ra-ro-di-če|pra-p.ra-ro-di-če
ka*nó|ka*nó
pro-rez*lé|pro-rez*lé
ut.ře-ní|ut.ře-ní
ne-za-le.h-la|ne-za-le.h-la
st.ře-ni|st.ře-ni
ho-mo-cy*k-lic-ký|ho-mo-cy*k-lic-ký
ce.ll|ce.ll
neu.r-gent-ní|neu.r-gent-ní
ne-p.ři-taž-li-vá|ne-p.ři-taž-li-vá
pos*thu-ma|pos*thu-ma
nej*z*na-me-ni-těj-ším|nej*zna-me-ni-těj-ším
ura-ni.um|ura-ni.um
ap*p-le|ap*p-le
ob-l.ast-mi|ob-l.ast-mi
se-s*t*řen-ce|se-st*řen-ce
us.k.ři-nu-tý|us.k.ři-nu-tý
za-šu-s*tě-ním|za-šu-s*tě-ním
při-brz.ďu-jí|při-brz.ďu-jí
ek-vi-li-b-ri.um|ek-vi-li-b-ri.um
egi-ri-n.au-git|egi-ri-n.au-git
